00153,04/13/2015,5/8-24 UNEF-2B GO THREAD GAGE +,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00158,08/18/2016,"0-1"" MITUTOYO DIGITAL MICROMETER",DIGITAL MICROMETER,365,08/02/2024,129,08/03/2023,
00160,07/04/2019,"0-1"" PIN MIC, MITUTOYO","0 - 1"" PIN MICROMETE",365,10/01/2024,189,10/02/2023,
00161,04/28/2016,M8.0 X 1.00 6H GO / NO GO THREAD G,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00163,10/30/2012,1-1/4-20 UN CALIBRATION THD AGE I,CALIBRATION GAGE,365,12/27/2024,276,12/28/2023,
00164,09/04/2012,2-56 UNC-2B GO / NO GO GAGE,THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
00165,10/30/2012,1-1/4-28 UNF CVALIBRATION THD GAGE I,CALIBRATION GAGE,365,12/27/2024,276,12/28/2023,
00166,10/30/2012,1-1/8-12 UNF CALIBRATION THD GAGE I,CALIBRATION GAGE,365,12/27/2024,276,12/28/2023,
00168,08/15/2016,"0-1"" STARRETT PITCH MIC 22-30",PITCH MICROMETER,365,08/06/2024,133,08/07/2023,
00169,04/17/2017,"0-3"" STARRETT DEPTH MIC (449)",DEPTH MICROMETER,365,10/10/2024,198,10/11/2023,
00170,05/27/2019,M6 X 1.0-6H GO / NO GO THREAD PLUG G,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00171,03/18/2015,5/8-24 UNEF 3B GO / NO GO THREAD G,THREAD PLUG GAGE,365,03/01/2025,340,03/01/2024,
00172,03/09/2015,"M14 X 1.0 6H L.H. GO/NO GO GAGE """,THREAD PLUG GAGE,365,02/01/2025,312,02/02/2024,
00174,02/10/2011,7/16-24 UNS 2B GO/NO GO THD. GAGE,THREAD PLUG GAGE,365,06/01/2024,67,06/02/2023,
00176,12/13/2011,1/8-27 NPSM GO/NOGO THREAD GAGE,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00177,06/09/2009,7/16-14 UNC-2B GO/NO GO THREAD P,THREAD PLUG GAGE,365,06/01/2024,67,06/02/2023,
00180,10/17/2018,4-40 STI UNC-2B GO / NO GO THREAD G,THREAD PLUG GAGE,365,11/09/2024,228,11/10/2023,
00190,04/05/2019,8-32 UNC 2B GO/NO GO THREAD PLUG G,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00191,04/09/2013,M4 X .7-6H GO / NO GO PLUG GAGE,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00201,11/04/2014,"0-1"" 8-13 CALIBRATION S-T P. MIC I.D. #",CALIBRATION GAGE,365,01/16/2025,296,12/28/2023,
00202,07/06/2015,6-32 UNC-2B STI GO / NO GO THREAD G,STI THREAD PLUG,365,04/02/2024,7,04/03/2023,
00204,11/04/2014,"0-1"" 14-20 CALIBRATION S-T P. MIC I",CALIBRATION GAGE,365,12/27/2024,276,12/28/2023,
00205,02/05/2017,"1.00001"" PLAIN RING I.D.#DH2422",PLAIN RING GAGE,1095,05/16/2025,416,04/30/2019,
00211,07/09/2018,"0-1"" 22-30 S-T PITCH MICROMETER (",CALIBRATION GAGE,365,12/27/2024,276,12/28/2023,
00213,03/11/2019,"0-1"" CHAMFER GAGE (BARCOR)",CHAMFER GAGE,365,03/01/2025,340,03/01/2024,
00218,08/16/2010,"0-3"" B&S DEPTH MICROMETER","0"" - 3"" DEPTH MICROM",365,10/01/2024,189,10/02/2023,
00219,01/10/2018,"G 3/8"" X 19 BSPP PIPE GO / NO GO THD. P",THREAD PLUG GAGE,365,01/21/2025,301,01/22/2024,
00227,01/10/2018,M24 X 3.0 GO / NO GO THD. PLUG GAGE,THREAD PLUG GAGE,365,01/17/2025,297,01/18/2024,
00229,04/28/2018,3/8-18 NPT L-1 PLUG GAGE,THREAD PLUG GAGE,1095,06/15/2024,81,06/16/2021,
00240,02/05/2019,6-32 UNC 3B GO / NO GO THREAD GAGE,THREAD PLUG GAGE,365,02/01/2025,312,02/02/2024,
00243,10/25/2018,M3 X 0.4-6H GO / NO GO THREAD GAGE,THREAD PLUG GAGE,365,11/08/2024,227,11/09/2023,
00245,04/11/2019,8-32 UNC 2B GO / NO GO THREAD GAGE,THREAD PLUG GAGE,365,04/16/2024,21,04/17/2023,
00246,06/10/2009,"2-3"" STARRETT MICROMETER","2-3"" OUTSIDE MICROME",365,02/01/2025,312,02/02/2024,
00251,11/21/2012,1/4-28 UNF 2B GO / NO GO GAGE,THREAD PLUG GAGE,365,04/30/2024,35,05/01/2023,
00255,04/29/2013,"0-3"" STARRETT DEPTH MICROMETER (",DEPTH MICROMETER,365,06/04/2024,70,06/05/2023,
00258,10/15/2018,KEYENCE IM-7030,OPTICAL COMPARATOR,365,10/11/2024,199,10/12/2023,
00266,06/09/2009,"9-10"" MITUTOYO MICROMETER","9""-10"" OUTSIDE MICRO",365,12/12/2024,261,12/13/2023,
00267,06/09/2009,"7-8"" MITUTOYO MICROMETER","7""-8"" OUTSIDE MICROM",365,07/02/2024,98,07/03/2023,
